num_step,gregaire,peureuse,kamikaze,prevoyante,pers_multi,camouflage,carapace,nageoires,yeux,oreilles
446,63.6364,9.09091,9.09091,18.1818,0,27.2727,45.4545,54.5455,0,0
447,63.6364,9.09091,9.09091,18.1818,0,27.2727,45.4545,54.5455,0,0
448,63.6364,9.09091,9.09091,18.1818,0,27.2727,45.4545,54.5455,0,0
449,63.6364,9.09091,9.09091,18.1818,0,27.2727,45.4545,54.5455,0,0
450,63.6364,9.09091,9.09091,18.1818,0,27.2727,45.4545,54.5455,0,0
451,63.6364,9.09091,9.09091,18.1818,0,27.2727,45.4545,54.5455,0,0
452,58.3333,8.33333,8.33333,25,0,25,41.6667,50,0,0
453,58.3333,8.33333,8.33333,25,0,25,41.6667,50,0,0
454,58.3333,8.33333,8.33333,25,0,25,41.6667,50,0,0
455,58.3333,8.33333,8.33333,25,0,25,41.6667,50,0,0
456,58.3333,8.33333,8.33333,25,0,25,41.6667,50,0,0
457,58.3333,8.33333,8.33333,25,0,25,41.6667,50,0,0
458,58.3333,8.33333,8.33333,25,0,25,41.6667,50,0,0
459,58.3333,8.33333,8.33333,25,0,25,41.6667,50,0,0
460,58.3333,8.33333,8.33333,25,0,25,41.6667,50,0,0
461,58.3333,8.33333,8.33333,25,0,25,41.6667,50,0,0
462,58.3333,8.33333,8.33333,25,0,25,41.6667,50,0,0
463,58.3333,8.33333,8.33333,25,0,25,41.6667,50,0,0
464,58.3333,8.33333,8.33333,25,0,25,41.6667,50,0,0
465,58.3333,8.33333,8.33333,25,0,25,41.6667,50,0,0
